Journal Title	Publisher	Signed	Display
ACI Avances en Ciencias e Ingenierías	USFQ Press	Y	Y
Actuators	MDPI	Y	Y
Administrative Sciences	MDPI	Y	Y
Advances in Cytology & Pathology	MedCrave Group	Y	Y
Advances in Plants & Agriculture Research	MedCrave Group	Y	Y
Advances in Tissue Engineering & Regenerative Medicine: Open Access	MedCrave Group	Y	Y
Aeronautics and Aerospace Open Access Journal	MedCrave Group	Y	Y
Aerospace	MDPI	Y	Y
Agriculture	MDPI	Y	Y
Agronomy	MDPI	Y	Y
Algorithms	MDPI	Y	Y
Animals	MDPI	Y	Y
Annals of Medical Physiology	Annals of Medical Physiology	Y	
Antibiotics	MDPI	Y	Y
Antioxidants	MDPI	Y	Y
Applied Sciences	MDPI	Y	Y
Applied System Innovation	MDPI	Y	Y
Archives of Neuroscience	Kowsar Medical Institute	Y	
Arts	MDPI	Y	Y
Arts & Humanities Open Access Journal	MedCrave Group	Y	Y
Atmosphere	MDPI	Y	Y
Atoms	MDPI	Y	Y
Axioms	MDPI	Y	Y
Batteries	MDPI	Y	Y
Behavioral Sciences	MDPI	Y	Y
Beverages	MDPI	Y	Y
BIBECHANA		Y	
Big Data and Cognitive Computing	MDPI	Y	Y
Biodiversity International Journal	MedCrave Group	Y	Y
Bioengineering	MDPI	Y	Y
Biology	MDPI	Y	Y
Biomedicines	MDPI	Y	Y
Biometrics & Biostatistics International Journal	MedCrave Group	Y	Y
Biomimetics	MDPI	Y	Y
Biomolecules	MDPI	Y	Y
Biosensors	MDPI	Y	Y
BMJ Open	BMJ Publishing Group	Y	Y
Books	MDPI	Y	Y
Brain and Behavior	Wiley	Y	Y
Brain Sciences	MDPI	Y	Y
Buildings	MDPI	Y	Y
C - Journal of Carbon Research	MDPI	Y	Y
Cancers	MDPI	Y	Y
Catalysts	MDPI	Y	Y
Cells	MDPI	Y	Y
Ceramics	MDPI	Y	Y
Challenges	MDPI	Y	Y
Check List	Check List	Y	
ChemEngineering	MDPI	Y	Y
Chemosensors	MDPI	Y	Y
Children	MDPI	Y	Y
Chromatography	MDPI	Y	Y
Clean Technologies	MDPI	Y	Y
Climate	MDPI	Y	Y
Coatings	MDPI	Y	Y
Colloids and Interfaces	MDPI	Y	Y
Computation	MDPI	Y	Y
Computers	MDPI	Y	Y
Cosmetics	MDPI	Y	Y
Cryptography	MDPI	Y	Y
Crystals	MDPI	Y	Y
Data	MDPI	Y	Y
Decision Making: Applications in Management and Engineering	Regional Association for Security and Crisis Management	Y	Y
Dentistry Journal	MDPI	Y	Y
Designs	MDPI	Y	Y
Developmental Science	Wiley		Y
Diabetes Mellitus	Endocrinology Research Centre	Y	Y
Diagnostics	MDPI	Y	Y
Diseases	MDPI	Y	Y
Diversity	MDPI	Y	Y
Drones	MDPI	Y	Y
Econometrics	MDPI	Y	Y
Economies	MDPI	Y	Y
Education Sciences	MDPI	Y	Y
Electrical & Electronic Technology Open Access Journal	MedCrave Group	Y	Y
Electronics	MDPI	Y	Y
eLife	eLife	Y	Y
Energies	MDPI	Y	Y
English Studies at NBU	Department of English Studies of New Bulgarian University	Y	Y
Entropy	MDPI	Y	Y
Environments	MDPI	Y	Y
Epigenomes	MDPI	Y	Y
European Journal of Neuroscience	Wiley	Y	Y
Exercise Medicine	Sapientia Publishing Group	Y	Y
F1000Research	f1000	Y	Y
Fermentation	MDPI	Y	Y
Fibers	MDPI	Y	Y
Fire	MDPI	Y	Y
Fishes	MDPI	Y	Y
Fluid Mechanics Research International Journal	MedCrave Group	Y	Y
Fluids	MDPI	Y	Y
Focus on Sciences	Danesh Negaran Owj	Y	
Foods	MDPI	Y	Y
Forecasting	MDPI	Y	Y
Forestry Research and Engineering: International Journal	MedCrave Group	Y	Y
Forests	MDPI	Y	Y
Fractal and Fractional	MDPI	Y	Y
Future Internet	MDPI	Y	Y
Galaxies	MDPI	Y	Y
Games	MDPI	Y	Y
Gastroenterology & Hepatology: Open Access	MedCrave Group	Y	Y
Gels	MDPI	Y	Y
Genes	MDPI	Y	Y
Geosciences	MDPI	Y	Y
Geriatrics	MDPI	Y	Y
GigaScience	Oxford University Press	Y	Y
Healthcare	MDPI	Y	Y
Hematology & Transfusion International Journal	MedCrave Group	Y	Y
Hepatitis Monthly	Kowsar Publishing	Y	Y
Heritage	MDPI	Y	Y
High-Throughput	MDPI	Y	Y
Hittite Journal of Science and Engineering	Hittite Journal of Science and Engineering	Y	Y
Horticulturae	MDPI	Y	Y
Horticulture International Journal	MedCrave Group	Y	Y
Hospice & Palliative Medicine International Journal	MedCrave Group	Y	Y
Human IT	Hoegskolan i Boraas	Y	
Humanities	MDPI	Y	Y
Hydrology	MDPI	Y	Y
Indo Global Journal of Pharmaceutical Sciences	iGlobal Research and Publishing Foundation	Y	Y
Informatics	MDPI	Y	Y
Information	MDPI	Y	Y
Infrastructures	MDPI	Y	Y
Inorganics	MDPI	Y	Y
Insects	MDPI	Y	Y
Instruments	MDPI	Y	Y
International Journal of Biosensors & Bioelectronics	MedCrave Group	Y	Y
International Journal of Environmental Research and Public Health	MDPI	Y	Y
International Journal of Family & Community Medicine	MedCrave Group	Y	Y
International Journal of Financial Studies	MDPI	Y	Y
International Journal of Hydrology	MedCrave Group	Y	Y
International Journal of Molecular Biology: Open Access	MedCrave Group	Y	Y
International Journal of Molecular Sciences	MDPI	Y	Y
International Journal of Neonatal Screening	MDPI	Y	Y
International Journal of Perceptions in Public Health		Y	
International Journal of Petrochemical Science & Engineering (IPCSE)	MedCrave Group	Y	Y
International Journal of Pregnancy & Child Birth	MedCrave Group	Y	Y
International Journal of Quantum Chemistry	Wiley	Y	Y
International Journal of Radiology & Radiation Therapy	MedCrave Group	Y	Y
International Journal of Vaccines & Vaccination	MedCrave Group	Y	Y
International Physical Medicine & Rehabilitation Journal	MedCrave Group	Y	Y
International Robotics & Automation Journal	MedCrave Group	Y	Y
Inventions	MDPI	Y	Y
ISPRS International Journal of Geo-Information	MDPI	Y	Y
J	MDPI	Y	Y
Journal of Analytical & Pharmaceutical Research	MedCrave Group	Y	Y
Journal of Anesthesia & Critical Care: Open Access	MedCrave Group	Y	Y
Journal of Animal Genetics, Transgenesis and Zoonoses	Open BioMedical Publishing Corporation	Y	Y
Journal of Applied Research on Medicinal and Aromatic Plants	Elsevier	Y	
Journal of Aquaculture & Marine Biology	MedCrave Group	Y	Y
Journal of Bacteriology & Mycology: Open Access	MedCrave Group	Y	Y
Journal of Cancer Metastasis and Treatment	OAE Publishing	Y	
Journal of Cancer Prevention & Current Research	MedCrave Group	Y	Y
Journal of Cardiology & Current Research	MedCrave Group	Y	Y
Journal of Cardiovascular Development and Disease	MDPI	Y	Y
Journal of Chemistry	Hindawi	Y	
Journal of Clinical Medicine	MDPI	Y	Y
Journal of Cognitive Science: Open Access	MedCrave Group	Y	Y
Journal of Composites Science	MDPI	Y	Y
Journal of Dairy, Veterinary & Animal Research (JDVAR)	MedCrave Group	Y	Y
Journal of Dental Health, Oral Disorders & Therapy	MedCrave Group	Y	Y
Journal of Developmental Biology	MDPI	Y	Y
Journal of Diabetes, Metabolic Disorders & Control	MedCrave Group	Y	Y
Journal of Epidemiology and Infectious Diseases	MedCrave Group	Y	Y
Journal of Functional Biomaterials	MDPI	Y	Y
Journal of Functional Morphology and Kinesiology	MDPI	Y	Y
Journal of Fungi	MDPI	Y	Y
Journal of Historical Archaeology & Anthropological Sciences	MedCrave Group	Y	Y
Journal of Imaging	MDPI	Y	Y
Journal of Intelligence	MDPI	Y	Y
Journal of Low Power Electronics and Applications	MDPI	Y	Y
Journal of Lung, Pulmonary & Respiratory Research	MedCrave Group	Y	Y
Journal of Manufacturing and Materials Processing	MDPI	Y	Y
Journal of Marine Science and Engineering	MDPI	Y	Y
Journal of Mathematical and Fundamental Sciences	ITB Journal Publisher	Y	
Journal of Microbiology & Experimentation	MedCrave Group	Y	Y
Journal of Neurology & Stroke	MedCrave Group	Y	Y
Journal of Nutritional Health & Food Engineering	MedCrave Group	Y	Y
Journal of Otolaryngology-ENT Research	MedCrave Group	Y	Y
Journal of Otorhinolaryngology, Hearing and Balance Medicine	MDPI	Y	Y
Journal of Pancreatic Research, Disorders & Therapy	MedCrave Group	Y	Y
Journal of Personalized Medicine	MDPI	Y	Y
Journal of Psychology & Clinical Psychiatry	MedCrave Group	Y	Y
Journal of Risk and Financial Management	MDPI	Y	Y
Journal of Sensor and Actuator Networks	MDPI	Y	Y
Journal of Textile Engineering & Fashion Technology	MedCrave Group	Y	Y
Journal of Translational Genetics and Genomics	OAE Publishing	Y	
Journal of Universal Computer Science		Y	Y
Jurnal INDRIA (Jurnal Ilmiah Pendidikan Prasekolah Dan Sekolah Awal)	Universitas Muhammadiyah Ponorogo	Y	Y
Jurnal Penelitian Fisika dan Aplikasinya (JPFA)	Universitas Negeri Surabaya	Y	
Land	MDPI	Y	Y
Languages	MDPI	Y	Y
Laws	MDPI	Y	Y
Life	MDPI	Y	Y
Life Science Alliance	Life Science Alliance LLC	Y	
Logistics	MDPI	Y	Y
Lubricants	MDPI	Y	Y
Machine Learning and Knowledge Extraction	MDPI	Y	Y
Magnetochemistry	MDPI	Y	Y
Marine Drugs	MDPI	Y	Y
Material Science & Engineering International Journal	MedCrave Group	Y	Y
Materials	MDPI	Y	Y
Mathematical and Computational Applications	MDPI	Y	Y
Mathematics	MDPI	Y	Y
Medical Sciences	MDPI	Y	Y
Medicina	MDPI	Y	Y
Medicines	MDPI	Y	Y
Membranes	MDPI	Y	Y
Metabolites	MDPI	Y	Y
Metals	MDPI	Y	Y
Methods and Protocols	MDPI	Y	Y
Microarrays	MDPI	Y	Y
Micromachines	MDPI	Y	Y
Microorganisms	MDPI	Y	Y
Minerals	MDPI	Y	Y
MOJ Addiction Medicine & Therapy	MedCrave Group	Y	Y
MOJ Anatomy & Physiology	MedCrave Group	Y	Y
MOJ Applied Bionics and Biomechanics	MedCrave Group	Y	Y
MOJ Bioequivalence & Bioavailability	MedCrave Group	Y	Y
MOJ Biology and Medicine	MedCrave Group	Y	Y
MOJ Cell Science & Report	MedCrave Group	Y	Y
MOJ Clinical & Medical Case Reports	MedCrave Group	Y	Y
MOJ Drug Design Development & Therapy (MOJDDT)	MedCrave Group	Y	Y
MOJ Ecology & Environmental Sciences	MedCrave Group	Y	Y
MOJ Mining and Metallurgy	MedCrave Group	Y	Y
MOJ Orthopedics & Rheumatology	MedCrave Group	Y	Y
MOJ Proteomics & Bioinformatics	MedCrave Group	Y	Y
MOJ Solar and Photoenergy Systems	MedCrave Group	Y	Y
MOJ Sports Medicine (MOJSM)	MedCrave Group	Y	Y
MOJ Surgery	MedCrave Group	Y	Y
MOJ Tumor Research	MedCrave Group	Y	Y
MOJ Women's Health	MedCrave Group	Y	Y
MOJ Yoga & Physical Therapy	MedCrave Group	Y	Y
MolBank	MDPI	Y	Y
Molecules	MDPI	Y	Y
Multimodal Technologies and Interaction	MDPI	Y	Y
Nanomaterials	MDPI	Y	Y
Neuroimmunology and Neuroinflammation	OAE Publishing	Y	
Nitrogen	MDPI	Y	Y
Non-Coding RNA	MDPI	Y	Y
Nursing & Care Open Access Journal	MedCrave Group	Y	Y
Nutrients	MDPI	Y	Y
Obesity and metabolism	Endocrinology Research Centre	Y	Y
OBM Anaesthesiology	Open BioMedical Publishing Corporation		Y
OBM Genetics	Open BioMedical Publishing Corporation		Y
OBM Geriatrics	Open BioMedical Publishing Corporation		Y
OBM Hepatology and Gastroenterology	Open BioMedical Publishing Corporation		Y
OBM Integrative and Complementary Medicine	Open BioMedical Publishing Corporation		Y
OBM Neurobiology	Open BioMedical Publishing Corporation		Y
OBM Transplantation	Open BioMedical Publishing Corporation		Y
Obstetrics & Gynecology International Journal	MedCrave Group	Y	
Obstetrics & Gynecology International Journal	MedCrave Group	Y	Y
Open Access Journal of Science	MedCrave Group	Y	Y
Open Access Journal of Thyroid Research & Therapy	MedCrave Group	Y	Y
Open Biology	The Royal Society	Y	Y
Particles	MDPI	Y	Y
Pathogens	MDPI	Y	Y
PeerJ	PeerJ	Y	Y
Pharmaceuticals	MDPI	Y	Y
Pharmaceutics	MDPI	Y	Y
Pharmacy	MDPI	Y	Y
Pharmacy & Pharmacology International Journal	MedCrave Group	Y	Y
Philosophies	MDPI	Y	Y
Photonics	MDPI	Y	Y
Physics & Astronomy International Journal	MedCrave Group	Y	Y
Plant Science Today	Horizon e-Publishing Group	Y	Y
Plants	MDPI	Y	Y
Plasma	MDPI	Y	Y
Plastic and Aesthetic Research	OAE Publishing	Y	
PLoS Biology	Public Library of Science	Y	Y
PLOS Computational Biology	Public Library of Science	Y	Y
PLoS Currents	Public Library of Science	Y	Y
PLOS Genetics	Public Library of Science	Y	Y
PLOS Medicine	Public Library of Science	Y	Y
PLoS Neglected Tropical Diseases	Public Library of Science	Y	Y
Plos One	Public Library of Science	Y	Y
PLOS Pathogens	Public Library of Science	Y	Y
Polymers	MDPI	Y	Y
Problems of Endocrinology	Endocrinology Research Centre	Y	Y
Processes	MDPI	Y	Y
Proteomes	MDPI	Y	Y
Publications	MDPI	Y	Y
Quaternary	MDPI	Y	Y
Rechtsidee	Universitas Muhammadiyah Sidoarjo	Y	Y
Recycling	MDPI	Y	Y
Religions	MDPI	Y	Y
Remote Sensing	MDPI	Y	Y
Reproductive System & Sexual Disorders International Journal	MedCrave Group	Y	Y
Research Ideas and Outcomes	Pensoft Publishers	Y	Y
Resources	MDPI	Y	Y
Revista Bionatura	Clinical Biotec	Y	Y
Revista Brasileira de Direito Processual Penal	Instituto Brasileiro de Direito Processual Penal	Y	Y
Revista Catalana d'Ornitologia	Institut Catala d'Ornitologia	Y	Y
Risks	MDPI	Y	Y
Robotics	MDPI	Y	Y
Safety	MDPI	Y	Y
SAGE Open	SAGE Publishing	Y	Y
SAGE Open Medicine	SAGE Publishing	Y	Y
Scientia Pharmaceutica	MDPI	Y	Y
Sensors	MDPI	Y	Y
Separations	MDPI	Y	Y
Sinusitis	MDPI	Y	Y
Smart Cities	MDPI	Y	Y
Social Behavior and Personality: An international journal	Scientific Journal Publishers		Y
Social Sciences	MDPI	Y	Y
Societies	MDPI	Y	Y
Sociology International Journal	MedCrave Group	Y	Y
Soil Systems	MDPI	Y	Y
Sports	MDPI	Y	Y
Stats	MDPI	Y	Y
Sustainability	MDPI	Y	Y
Symmetry	MDPI	Y	Y
Systems	MDPI	Y	Y
Technologies	MDPI	Y	Y
The Asia Pacific Scholar (TAPS)	Centre for Medical Education (CenMED)	Y	
The International Arabic Journal of Antimicrobial Agents	International Medical Publisher	Y	
The PLAID Journal: People Living with And Inspired by Diabetes	Florida State University College of Medicine	Y	
The Scientific World Journal	Hindawi		Y
The Winnower		Y	Y
Toxins	MDPI	Y	Y
Transactions on Environment and Electrical Engineering	EEEIC International Publishing	Y	Y
Tropical Medicine and Infectious Disease	MDPI	Y	Y
Urban Science	MDPI	Y	Y
Veterinary Sciences	MDPI	Y	Y
Vibration	MDPI	Y	Y
Viruses	MDPI	Y	Y
Vision	MDPI	Y	Y
Water	MDPI	Y	Y
Weed Research	Wiley	Y	
Wellcome Open Research	F1000	Y	Y